time,zdravi_agenti,okuzeni_agenti,mrtvi_agenti,imuni_agenti
0,194,6,0,0
10,194,6,0,0
20,194,6,0,0
30,192,8,0,2
40,190,10,0,3
50,188,12,0,5
60,187,13,0,6
70,187,13,0,6
80,186,14,0,7
90,186,14,0,7
100,183,17,0,10
110,181,19,0,12
120,177,23,0,15
130,176,24,0,16
140,175,25,0,17
150,174,26,0,18
160,174,26,0,18
170,173,27,0,19
180,172,28,0,20
190,171,29,0,21
200,167,33,0,24
210,167,33,0,24
220,166,34,0,25
230,165,35,0,26
240,162,38,0,29
250,162,38,0,29
260,161,39,0,30
270,161,39,0,30
280,161,39,0,30
290,160,40,0,31
300,157,43,0,34
310,156,44,0,35
320,156,44,0,35
330,154,46,0,37
340,150,50,0,41
350,149,51,0,42
360,148,52,0,43
370,147,53,0,44
380,147,53,0,44
390,147,53,0,44
400,146,54,0,45
410,147,52,1,44
420,148,51,1,43
430,148,51,1,43
440,147,51,2,44
450,148,50,2,43
460,148,49,3,42
470,153,44,3,37
480,154,41,5,34
490,155,38,7,31
500,158,35,7,28
510,158,35,7,28
520,162,30,8,26
530,164,27,9,23
540,168,22,10,19
550,171,17,12,14
560,175,13,12,12
570,178,9,13,8
580,181,5,14,4
590,183,3,14,2
600,184,1,15,1
610,184,1,15,1
620,184,1,15,1
630,184,1,15,1
640,184,1,15,1
650,184,1,15,1
660,184,1,15,1
670,184,1,15,1
680,184,1,15,1
690,184,1,15,1
700,184,1,15,1
710,184,1,15,1
720,184,1,15,1
730,184,1,15,1
740,184,1,15,1
750,184,1,15,1
760,184,1,15,1
770,184,1,15,1
780,184,1,15,1
790,184,1,15,1
800,184,1,15,1
810,184,1,15,1
820,184,1,15,1
830,184,1,15,1
840,184,1,15,1
850,184,1,15,1
860,184,1,15,1
870,184,1,15,1
880,184,1,15,1
890,184,1,15,1
900,184,1,15,1
910,184,1,15,1
920,184,1,15,1
930,184,1,15,1
940,184,1,15,1
950,184,1,15,1
960,184,1,15,1
970,184,1,15,1
980,184,1,15,1
